ID,Year,PP (Y), TC (X1) ,II (X2),ATB (X3),ML (Z)
31,2021,0.111628,0.011394,0.229674,0.012077,0.543826
32,2017,-0.060197,0.053872,0.260535,0.000000,0.151622
32,2018,-0.333395,0.123421,0.242123,0.000000,-0.018748
32,2019,-1.849936,0.136358,0.217785,0.000000,0.004161
32,2020,-0.142544,0.060342,0.169107,0.000000,-0.082479
32,2021,-0.004932,0.016144,0.234880,0.000000,0.160886
33,2017,0.033009,0.025885,0.232637,0.054582,-0.040264
33,2018,0.049662,0.027607,0.267762,0.061040,-0.022141
33,2019,0.069764,0.040412,0.238795,0.054426,0.035704
33,2020,0.074765,0.028567,0.233176,0.045091,0.006452
33,2021,0.136439,0.011576,0.236851,0.027530,0.100323
34,2017,0.023315,0.022164,0.296717,0.003990,-0.068334
34,2018,0.024525,0.027193,0.298626,0.002646,0.082864
34,2019,0.029109,0.054012,0.288277,0.001653,0.025489
34,2020,-0.022363,0.056574,0.324263,0.000653,-0.080378
34,2021,-0.008581,0.027726,0.238440,0.000000,-0.016128
35,2017,0.031712,0.095623,0.269703,0.106965,-0.054232
35,2018,-0.007309,0.095443,0.277039,0.112687,0.352857
35,2019,-0.317174,0.108473,0.275780,0.104009,0.244838
35,2020,-0.277399,0.100576,0.276492,0.096933,0.134686
35,2021,0.028543,0.108688,0.245959,0.082281,0.052403
36,2017,0.092529,0.107804,0.233055,0.000256,0.123665
36,2018,0.054422,0.109147,0.251308,0.000318,-0.028739
36,2019,0.009369,0.096059,0.226028,0.000346,-0.005226
36,2020,0.060508,0.056877,0.181996,0.000326,0.045240
36,2021,0.124100,0.214641,0.248172,0.000864,0.164184
37,2017,-0.013797,0.005672,0.177162,0.005452,-0.033426
37,2018,0.073070,0.004162,0.218292,0.004753,0.009074
37,2019,0.096689,0.004277,0.227617,0.004453,0.059648
37,2020,0.061892,0.020936,0.196771,0.003590,-0.068760
37,2021,-0.009402,0.016442,0.262822,0.000618,0.065462
38,2017,-0.078235,0.190465,0.234513,0.000000,0.075526
38,2018,-0.198718,0.391477,0.302954,0.000000,0.028814
38,2019,-0.863878,0.412486,0.274080,0.000000,-0.042535
38,2020,-0.193844,0.268191,0.233171,0.000000,0.019391
38,2021,0.006614,0.114490,0.264406,0.000000,0.017228
39,2017,0.195066,0.055671,0.303924,0.010524,0.180286
39,2018,-2.021638,0.437371,0.292102,0.005523,-0.070951
39,2019,-0.521397,0.113565,0.263811,0.002489,-0.252977
39,2020,0.221614,0.202921,0.233766,0.002766,-0.001887
39,2021,-0.112618,0.017264,0.286802,0.001788,0.009102
40,2017,0.009891,0.002124,0.222514,0.203523,-0.024569
40,2018,0.024758,0.002157,0.252190,0.199678,0.040983
40,2019,0.035143,0.001179,0.215668,0.195428,0.052976
40,2020,0.037497,0.001241,0.202636,0.197563,-0.041516
40,2021,0.038555,0.001097,0.288681,0.176144,0.069818
41,2017,0.012348,0.002822,0.410123,0.000000,0.151836
41,2018,-0.005348,0.026193,0.333823,0.000000,-0.080885
41,2019,0.004875,0.017850,0.386596,0.000000,0.044319
41,2020,-0.008882,0.025824,0.349788,0.000000,-0.100525
41,2021,0.012394,0.009077,0.299142,0.000000,0.152611
42,2017,-0.018643,0.007747,0.204319,0.000000,0.032804
42,2018,-0.061904,0.004702,0.225390,0.000000,0.001168
42,2019,0.015962,0.003030,0.241512,0.000000,0.057718
42,2020,-0.015152,0.017241,0.281178,0.000000,0.080540
42,2021,-0.053901,0.045630,0.313493,0.000000,0.081044
43,2017,-0.033360,0.117533,0.331632,0.001534,-0.022668
43,2018,0.025784,0.105280,0.349144,0.001515,0.073136
43,2019,0.020662,0.121559,0.399542,0.001335,0.131620
43,2020,0.022261,0.149685,0.335817,0.001314,-0.083922
43,2021,-0.025043,0.103793,0.318653,0.000000,-0.045258
44,2017,-0.288464,0.302397,0.313178,0.014464,-0.015860
44,2018,-0.372274,0.296386,0.334829,0.014505,0.038447
44,2019,-0.129429,0.273728,0.274537,0.014391,-0.044257
44,2020,0.005559,0.068109,0.258419,0.012144,0.098905
44,2021,0.010412,0.080188,0.329675,0.010304,0.105693
45,2017,-0.133240,0.261690,0.379623,0.009052,-0.028198
45,2018,-0.075185,0.180979,0.413282,0.003041,0.023672
45,2019,-0.007798,0.182931,0.399736,0.000731,0.033547
45,2020,-0.048137,0.185150,0.381055,0.000372,-0.024875
45,2021,-0.022634,0.131548,0.366167,0.000314,0.026527
46,2017,0.058708,0.014658,0.366144,0.000000,0.055973
46,2018,0.077389,0.017636,0.356604,0.000000,0.075408
46,2019,0.076610,0.040223,0.378156,0.000000,0.059429
46,2020,-0.428904,0.149381,0.387068,0.000000,-0.028065
46,2021,-0.045644,0.076895,0.455219,0.000000,0.097832
47,2017,0.042583,0.181630,0.545631,0.007566,0.137133
47,2018,0.150853,0.118510,0.487038,0.006701,-0.051465
47,2019,0.056713,0.115400,0.506961,0.005855,0.208041
47,2020,0.073118,0.081865,0.446659,0.031960,0.131763
47,2021,0.026938,0.074395,0.536539,0.025278,0.105864
48,2017,-0.006045,0.195879,0.301659,0.227270,-0.102881
48,2018,-0.144363,0.235648,0.363272,0.210142,0.092720
48,2019,0.018917,0.278400,0.388060,0.125819,-0.154333
48,2020,-0.026086,0.284766,0.371300,0.129757,0.050677
48,2021,-0.138490,0.091900,0.559985,0.092128,0.165708
49,2017,0.006381,0.041555,0.394234,0.010096,0.088338
49,2018,0.014949,0.085769,0.340256,0.012653,-0.028521
49,2019,0.040921,0.051147,0.315451,0.010748,-0.065088
49,2020,0.047490,0.014261,0.478952,0.007433,0.081316
49,2021,-0.001837,0.001724,0.449702,0.006986,0.090402
50,2017,0.212289,0.028819,0.036577,0.058897,0.061034
50,2018,0.022678,0.067185,0.046230,0.058961,0.006565
50,2019,0.118657,0.017021,0.039132,0.056730,0.033626
50,2020,-0.333242,0.018909,0.048726,0.060609,-0.071253
50,2021,0.169710,0.006539,0.068788,0.055330,0.099021
