ID	Year	PP(Y)	TC(X1)	II(X2)	ATB(X3)	ML(Z)
28	2018	0,014842952	0,028560272	0,057424226	0,010388167	0,016340651
28	2019	0,02243231	0,029600496	0,066088652	0,010388167	0,035183046
28	2020	0,018711311	0,029973852	0,066020689	0,010388167	0,046726474
28	2021	0,028069029	0,026637751	0,06658897	0,009040282	0,056861304
29	2017	0,047962081	0,023457765	0,066411582	0,008154571	0,064639346
29	2018	0,059805912	0,019482424	0,066686856	0,007097686	0,076377075
29	2019	0,082769015	0,014861022	0,067032361	0,005622816	0,083675542
29	2020	0,103043233	0,009600455	0,066859408	0,004158442	0,080982608
29	2021	0,12041892	0,008737437	0,073068968	0,004158442	0,087470211
30	2017	0,124250459	0,013184241	0,062481289	0,003872106	0,094844599
30	2018	0,117436856	0,019804458	0,062581712	0,006638729	0,090121945
30	2019	0,115967754	0,016904437	0,069577901	0,009046605	0,080394266
30	2020	0,115271711	0,025007063	0,076835019	0,009046605	0,076139108
30	2021	0,106336779	0,029414572	0,083647179	0,008733523	0,064507162
31	2017	0,085743225	0,030299038	0,100015379	0,009931709	0,068364829
31	2018	0,06106594	0,029799853	0,108421848	0,01074308	0,070331288
31	2019	0,037815845	0,031234754	0,114696952	0,011162633	0,069078554
31	2020	0,015782149	0,033706026	0,114455135	0,011375792	0,074182455
31	2021	0,020295232	0,029871485	0,123415799	0,009285597	0,060824888
32	2017	0,013720378	0,027601918	0,127539831	0,006518973	0,056378769
32	2018	0,013771475	0,028166824	0,131073044	0,004111098	0,04752482
32	2019	0,008617343	0,018182627	0,131366257	0,004111098	0,043979508
32	2020	-0,007335445	0,020432617	0,124799758	0,004111098	0,042818777
32	2021	-0,006474435	0,02034079	0,118084916	0,002786006	0,041623966
33	2017	-0,00233133	0,021131923	0,119073589	0,008039277	0,03246959
33	2018	0,004493168	0,021677397	0,126115362	0,014401899	0,047232736
33	2019	0,013094061	0,023297545	0,130122451	0,020236035	0,035267382
33	2020	0,008998203	0,02520569	0,130511481	0,023904168	0,032164
33	2021	0,03084668	0,020506118	0,127879939	0,026963071	0,038686365
34	2017	0,036585422	0,024340111	0,133945906	0,02740635	0,03317678
34	2018	0,042476962	0,028876691	0,142928156	0,027700359	0,041921574
34	2019	0,048406287	0,028173351	0,158635519	0,027883991	0,049473506
34	2020	0,046469407	0,032665631	0,157455837	0,027956579	0,027110832
34	2021	0,041848224	0,032870084	0,158100634	0,021891938	0,029792593
35	2017	0,039853754	0,040427442	0,158316206	0,026994753	0,00908454
35	2018	0,031290071	0,046542019	0,162565545	0,033468272	0,002418992
35	2019	0,019852607	0,042162628	0,167299353	0,040014724	0,006644731
35	2020	0,006663832	0,039758944	0,171703957	0,047726117	0,010462821
35	2021	0,007244797	0,036088653	0,166064139	0,056425158	0,023878115
36	2017	0,005912009	0,031869341	0,158778523	0,056159551	0,028411578
36	2018	0,008724455	0,02465527	0,154670864	0,056011303	0,042106072
36	2019	0,012250258	0,029042488	0,154866973	0,055977201	0,046011849
36	2020	0,019926865	0,032281507	0,144840287	0,056013433	0,052830491
36	2021	0,017969988	0,019973791	0,142447992	0,044224411	0,07598778
37	2017	0,017249112	0,009999208	0,128078768	0,032309323	0,074972229
37	2018	0,028498164	0,011666949	0,12169117	0,021280971	0,071037807
37	2019	0,028381375	0,013259633	0,116260577	0,011005448	0,062700275
37	2020	0,032086761	0,016793511	0,105562636	0,002261977	0,04923771
37	2021	0,029649972	0,019818188	0,108870105	0,002302198	0,042770682
38	2017	0,032295873	0,01891465	0,107003956	0,002266814	0,034635862
38	2018	0,027935812	0,006806417	0,10444019	0,002228329	0,038418049
38	2019	0,018030617	-0,001082644	0,118426861	0,002192097	0,028665233
38	2020	0,013199056	-0,001142144	0,116760119	0,002096128	0,0125771
38	2021	0,015466957	-0,003044486	0,129725654	0,001490402	0,018205283
39	2017	0,029022136	0,002678678	0,128129217	0,002131542	0,020562222
39	2018	0,024763617	0,000606427	0,135294172	0,002250416	0,026102436
39	2019	0,019577181	-0,002981645	0,147975758	0,002128161	0,028709335
39	2020	0,045245594	-0,006478417	0,144747272	0,002366872	0,021226083
39	2021	0,034190439	-0,002443877	0,150557159	0,002565501	0,013845678
40	2017	0,038608498	-0,000772936	0,152730542	0,002902749	0,02670737
